study_id,year,author,condition,population_type,population_age,study_design,application,wavelength_nm,session_duration_min,session_count,blinding,control_type,outcome_cat,outcome_direction,sample,source,publisher
S099,2023,Coelho et al.,OCD,clinical,adult,Review / Hypothesis,transcranial,NA,NA,NA,not reported,NA,OCD Symptoms,inconclusive,NA,Inflammation in obsessive-compulsive disorder: A literature review and hypothesis-based potential of transcranial photobiomodulation,PubMed
S062,2023,Fitzmaurice et al.,Fibromyalgia,clinical,adult,Feasibility Trial,peripheral,850,20,18,no blinding,no control group,Anxiety,positive,19,Whole-Body Photobiomodulation Therapy for Fibromyalgia: A Feasibility Trial,PubMed
S062,2023,Fitzmaurice et al.,Fibromyalgia,clinical,adult,Feasibility Trial,peripheral,850,20,18,no blinding,no control group,Depression,positive,19,Whole-Body Photobiomodulation Therapy for Fibromyalgia: A Feasibility Trial,PubMed
S062,2023,Fitzmaurice et al.,Fibromyalgia,clinical,adult,Feasibility Trial,peripheral,850,20,18,no blinding,no control group,Mood,positive,19,Whole-Body Photobiomodulation Therapy for Fibromyalgia: A Feasibility Trial,PubMed
S062,2023,Fitzmaurice et al.,Fibromyalgia,clinical,adult,Feasibility Trial,peripheral,850,20,18,no blinding,no control group,Sleep,positive,19,Whole-Body Photobiomodulation Therapy for Fibromyalgia: A Feasibility Trial,PubMed
S031,2023,Herkes et al.,Parkinson's,clinical,geriatric,Rct,transcranial,810,24,72,double-blind,sham-controlled,Motor Skills,mixed,40,A novel transcranial photobiomodulation device to address motor signs of Parkinson's disease: a parallel randomised feasibility study,ScienceDirect
S035,2023,Hu et al.,Healthy,healthy,adult,Rct,transcranial,1064,12,7,single-blind,sham-controlled,Memory,positive,57,Repeated Photobiomodulation Induced Reduction of Bilateral Cortical Hemodynamic Activation During a Working Memory Task in Healthy Older Adults,PubMed
S042,2023,Lee et al.,Healthy,healthy,adult,Single-Arm; Pre-Post,transcranial,810,5.83,1,double-blind,sham-controlled,Cognitive Function,positive,30,Frontiers | Photobiomodulation may enhance cognitive efficiency in older adults: a functional near-infrared spectroscopy study,Frontiers
S069,2023,Naeser et al.,Brain Injury,clinical,adult,Open-Label Pilot,transcranial,870,10,116,no blinding,no control group,Cognitive Function,positive,14,"Improved Cognitive Function After Transcranial, Light-Emitting Diode Treatments in Chronic, Traumatic Brain Injury: Two Case Reports - Margaret A. Naeser, Anita Saltmarche, Maxine H. Krengel, Michael R. Hamblin, Jeffrey A. Knight, 2011",Sage Journals
S069,2023,Naeser et al.,Brain Injury,clinical,adult,Open-Label Pilot,transcranial,870,10,116,no blinding,no control group,PTSD Symptoms,positive,14,"Improved Cognitive Function After Transcranial, Light-Emitting Diode Treatments in Chronic, Traumatic Brain Injury: Two Case Reports - Margaret A. Naeser, Anita Saltmarche, Maxine H. Krengel, Michael R. Hamblin, Jeffrey A. Knight, 2011",Sage Journals
S069,2023,Naeser et al.,Brain Injury,clinical,adult,Open-Label Pilot,transcranial,870,10,116,no blinding,no control group,Sleep,positive,14,"Improved Cognitive Function After Transcranial, Light-Emitting Diode Treatments in Chronic, Traumatic Brain Injury: Two Case Reports - Margaret A. Naeser, Anita Saltmarche, Maxine H. Krengel, Michael R. Hamblin, Jeffrey A. Knight, 2011",Sage Journals
