study_id,year,author,condition,population_type,population_age,outcome_cat,outcome_direction,blinding,control_type,wavelength_nm,session_duration_min,session_count,study_design,application,sample,source,publisher
S073,2020,Kerppers et al.,Anxiety; Depression,clinical,adult,Anxiety; Depression,positive,single-blind,sham-controlled,945,2,30,Controlled trial,transcranial,20,Study of transcranial photobiomodulation at 945-nm wavelength: anxiety and depression - PubMed,PubMed
S074,2020,Alipour et al.,Major Depressive Disorder,clinical,adult,Depression; EEG,positive,no blinding,no control group,810,4,10,Controlled trial,transcranial,22,Evaluating the effect of transcranial light therapy on depression symptoms and quantitative electroencephalographic changes,ResearchGate
S075,2023,Carneiro et al.,Brain Injury,clinical,adult,Cognitive function,positive,no blinding,open-label,630,30,18,Open-label pilot,transcranial,10,Transcranial Photobiomodulation Therapy in the Cognitive Rehabilitation of Patients with Cranioencephalic Trauma - PubMed,PubMed
S076,2021,Cardosa et al.,Natural Aging,aging,geriatric,Cognitive function; Memory,positive,,,633,,,Controlled trial,transcranial,36,Photobiomodulation for the aging brain - PubMed,PubMed
S077,2019,Salehpour et al. ,Healthy cognition / mood (non-clinical),healthy,adult,Executive function; Cognitive function,positive,,,810,,1,Controlled trial,transcranial,50,Transcranial Photobiomodulation Improves Cognitive Performance in Young Healthy Adults: A Systematic Review and Meta-Analysis - PMC,PubMed
S078,2022,Qu et al.,Natural Aging,aging,geriatric,Working memory,positive,single-blind,sham-controlled,1064,12,7,Controlled trial,transcranial,28,Repeated transcranial photobiomodulation improves working memory of healthy older adults: behavioral outcomes of poststimulation including a three-week follow-up - PubMed,PubMed
S079,2021,Cardoso et al.,Natural Aging,aging,geriatric,Cognitive function,positive,,,633,,,Controlled trial,transcranial,,Photobiomodulation for the aging brain - ScienceDirect,ScienceDirect
S080,2019,Moghadam et al.,Healthy cognition / mood (non-clinical),healthy,adult,Attention; EEG,positive,single-blind,sham-controlled,850,3,1,RCT,transcranial,30,Beneficial Effects of Transcranial Light Emitting Diode (LED) Therapy on Attentional Performance: An Experimental Design,PubMed
S081,2022,Zhao et al.,Healthy cognition / mood (non-clinical),healthy,adult,Visual working memory,positive,double-blind,sham-controlled,1064,,1,RCT,transcranial,40,Transcranial photobiomodulation enhances visual working memory capacity in humans | Science Advances,AAAS
S082,2025,Guu et al.,Insomnia; Major Depressive Disorder,clinical,adult,Sleep quality; Depression,mixed,double-blind,sham-controlled,850,40,56,RCT,transcranial,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial - ScienceDirect",ScienceDirect
